URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,64.0,33.0,0.31958862886597933,0.09099537148217636,133.0,85.92870544090057,40.133644338522394,17.0,916.0,1066.0,2.420262664165103,2.0,7.0
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,59.0,37.0,0.22916766666666666,0.13426673426573427,78.0,72.16783216783217,32.397997064663734,11.0,516.0,715.0,2.055944055944056,1.0,6.0
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,67.0,33.0,0.340001,0.10504301680672269,102.0,85.18907563025209,38.503537228845026,13.0,811.0,952.0,2.341386554621849,1.0,7.0
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,59.0,23.0,0.4390253902439024,0.11036439165545088,73.0,76.44683714670256,33.88095708090325,10.0,568.0,743.0,2.259757738896366,2.0,6.0
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,51.0,23.0,0.3783793783783784,0.08087531693989071,104.0,77.70491803278688,35.774274905422445,14.0,711.0,915.0,2.2098360655737705,6.0,6.0
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,48.0,24.0,0.3333343333333333,0.10942349240121581,103.0,79.33130699088146,36.35006665600171,14.0,522.0,658.0,2.2203647416413372,6.0,6.0
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,29.0,12.0,0.41463514634146337,0.09785302863961814,80.0,77.80429594272077,34.76519663795787,11.0,326.0,419.0,2.0668257756563246,1.0,6.0
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,3.0,0.0,1.000001,0.100001,153.0,86.66666666666667,40.66666666666667,19.0,26.0,30.0,3.1666666666666665,1.0,8.0
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,40.0,13.0,0.509434962264151,0.1311891188118812,91.0,75.24752475247524,34.46657746855767,13.0,304.0,404.0,2.0866336633663365,1.0,6.0
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,67.0,40.0,0.2523374485981308,0.10113521550094517,117.0,81.37996219281663,37.71296048688276,16.0,861.0,1058.0,2.327977315689981,3.0,6.0
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,47.0,61.0,-0.12962862962962962,0.10354845925215724,101.0,79.86577181208054,36.530924109447604,15.0,833.0,1043.0,2.1725790987535953,3.0,6.0
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,36.0,19.0,0.30909190909090906,0.08567078193146417,104.0,83.64485981308411,37.96320708312839,13.0,537.0,642.0,2.454828660436137,4.0,7.0
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,30.0,24.0,0.1111121111111111,0.0776988417266187,72.0,75.10791366906476,33.43340937006493,10.0,522.0,695.0,2.20863309352518,2.0,6.0
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,65.0,24.0,0.4606751573033708,0.11803813527851459,106.0,78.24933687002653,35.86943171770758,13.0,590.0,754.0,2.240053050397878,6.0,6.0
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,65.0,22.0,0.49425387356321837,0.10558352427184466,92.0,76.82038834951457,34.84815533980583,13.0,633.0,824.0,2.253640776699029,1.0,6.0
